BARRAS,PRODUCTO,COSTO,PRECIO
7791337574014,Actimel Entero Pack 600 Gr Vainilla,16.769,27.67
7791337574021,Actimel Entero Pack 600 Gr Frutilla,16.769,27.67
7791337574120,Actimel Entero Pack 600 Gr Natural,16.769,27.67
7791337574854,Actimel Entero Pack 600 Gr Multifruta,16.769,27.67
7791337957411,Actimel Entero Pack 600 Gr Vainilla,22.565,37.23
7791337957428,Actimel Entero Pack 600 Gr Frutilla,22.565,37.23
7791337957459,Actimel Entero Pack 600 Gr Natural,22.565,37.23
7791337957480,Actimel Entero Pack 600 Gr Multifruta,22.565,37.23
7791337566026,Actimel 0% Pack 600 Gr Frutilla,18.261,30.13
7791337566859,Actimel 0% Pack 600 Gr Multifruta,18.261,30.13
7791337956629,Actimel 0% Pack 600 Gr Frutilla,23.754,39.19
7791337956681,Actimel 0% Pack 600 Gr Multifruta,23.754,39.19
7791337166011,Vidacol Pack 320 Gr Vainilla,17.676,29.17
7791337166028,Vidacol Pack 320 Gr Frutilla,17.676,29.17
7791337166851,Vidacol Pack 320 Gr Multifruta,17.676,29.17
7791337222212,Activia Bebible Bot 185G Pera-Kiwi,7.041,11.62
7791337537811,Activia 0% Pack x 4 500Gr Ciruela,14.109,23.28
7791337942523,Activia Entero Pack 500 Gr Frutilla,13.880,22.90
7791337942585,Activia Entero Pack 500 Gr Ciruela,13.880,22.90
7791337942516,Activia Entero Pack 500 Gr Natural,13.880,22.90
7791337092532,Activia Entero Pack 250 Gr Frutilla,7.348,12.12
7791337922211,Activia Bebible Bot 185G Manzana-Ciruela,6.675,11.01
7791337922976,Activia Sachet 1100Gr Frutilla-Manzana,14.614,24.11
7791337922983,Activia Sachet 1100Gr Ciruela,14.614,24.11
7791337982574,Activia Sachet 900Gr Frutilla-Manzana,15.390,25.39
7791337982581,Activia Sachet 900Gr Ciruela,15.390,25.39
7791337094550,Activia Sachet 700 Gr Frutilla-Manzana,9.688,15.99
7791337951099,Activia Fibrabalance Pack 500 Gr Muesli,13.880,22.90
7791337120204,Queso Crema Casancrem Pote 300 Gr entero Queso Crema,15.300,25.25
7791337372009,Queso Blanco Casancrem Diet Pote 300G Queso Crema,17.220,28.41
7791337012035,Queso Crema Casancrem Pote 300 Gr Light Queso Crema,16.120,26.60
7791337011304,Queso crema Casancrem Pote 500 gr entero Queso Crema,23.256,38.37
7791337011311,Queso crema Casancrem Pote 500 gr light Queso Crema,24.276,40.06
7791337892071,Leche Cindor Extra Sabor  1L -,12.739,21.02
7793940198007,Leche Sab Cindor Brik 250Cm3 -,7.952,13.12
77953070,Poste Danette Pack x 2 190 gr Chocolate,8.260,13.63
77953063,Poste Danette Pack x 2 190 gr Dulce De Leche,8.260,13.63
7791337530904,Poste Danette Pack x 2 190 gr Crema Americana,8.260,13.63
7791337531017,Poste Danette Pack x 2 190 gr Flan,8.260,13.63
7791337526075,Poste Danette Pack x 4 380 gr Chocolate,15.490,25.56
7791337526068,Poste Danette Pack x 4 380 gr Dulce De Leche,15.490,25.56
7791337103207,Poste Danette Pack x 2 190 gr Dulce De Leche c/Chocolate,8.260,13.63
7791337103306,Poste Danette Pack x 2 190 gr Chocolate c/Frutilla,8.260,13.63
7791337094017,Alim Lacteo Danonino Pack 161 Gr Vainilla,5.970,9.85
7791337094024,Alim Lacteo Danonino Pack 161 Gr Frutilla,6.155,10.16
7791337643017,Alim Lacteo Danonino Bebible 185 GR Vainilla,8.870,14.64
7791337643024,Alim Lacteo Danonino Bebible 185 GR Frutilla,8.870,14.64
7791337821026,Alim Lacteo Danonino Pack 322 Gr Palito I&O Frutilla,18.300,30.20
7791337943018,Alim Lacteo Danonino Bebible 185 Gr FORTIFICADO Vainilla,6.205,10.24
7791337943025,Alim Lacteo Danonino Bebible 185 Gr FORTIFICADO Frutilla,6.205,10.24
7791337982727,Alim Lacteo Danonino Bebible Pack 400G FORTIFICADO Frutilla,13.869,22.88
7791337982727,Alim Lacteo Danonino Bebible Pack 400G FORTIFICADO Frutilla,13.869,22.88
7793940102882,Yogur Ser Clas C/Fruta Pote 180 G Frutillas ,7.544,12.45
7791337102118,Yogur Ser Clas C/Fruta Pote 180 G Durazno - Manzana,7.544,12.45
7791337102415,Yogur Ser Clas C/Fruta Pote 180 Gr Frutilla-Arandanos-Granada,7.544,12.45
7793940104015,Yogur Ser Clas Desc Firme Pote 195Gr Vainilla,4.939,8.15
7793940104022,Yogur Ser Clas Desc Firme Pote 195Gr Frutilla,4.939,8.15
7791337910416,Yogur Ser Fortificado Firme Pote 195G Vainilla,6.500,10.73
7791337910423,Yogur Ser Fortificado Firme Pote 195G Frutilla,6.500,10.73
7793940133299,Yogur Ser C/Cereal Pote 174 Gr Muesli,6.000,9.90
7791337303065,Postre Ser Pack 200Gr Dulce De Leche,7.991,13.19
7791337303072,Postre Ser Pack 200Gr Chocolate,7.991,13.19
7791337499003,Yogur Ser C/Colchon Frut y Cereal 172Gr Frutilla,7.694,12.70
7791337893078,Postre Ser Pack 400 Gr Chocolate,14.620,24.12
7791337993235,Yogur Ser C/Cereal Pote 165 Gr Corn Flakes,7.012,11.57
7791337703018,Flan Ser Pack 420 Gr Vainilla,14.545,24.00
7791337115811,Flan Ser Tentacion Pack 210 Gr Vainilla,7.942,13.10
7791337115866,Flan Ser Tentacion Pack 210 Gr Dulce De Leche,7.942,13.10
7791337623118,Yogur Ser +Fort Desc Sachet 1100 Gr Vainilla,14.363,23.70
7791337623125,Yogur Ser +Fort Desc Sachet 1100 Gr Frutilla,14.363,23.70
7791337697317,Yogur Ser +Fort Desc Sachet 900 Gr Vainilla,12.310,20.31
7791337697324,Yogur Ser +Fort Desc Sachet 900 Gr Frutilla,12.310,20.31
7791337047518,Yogur Ser Tetrabrik 1000 Gr Vainilla,17.700,29.21
7791337047527,Yogur Ser Tetrabrik 1000 Gr Frutilla,17.700,29.21
7791337933224,Yogur Ser Libre FORTIFICADO Bot 185 Gr Frutilla,6.329,10.44
7791337933286,Yogur Ser Libre FORTIFICADO Bot 185 Gr Multifruta,6.329,10.44
7791337901018,Yogur Ser Batido Calci+ Pack 240 Gr Vainilla,7.221,11.91
7791337901025,Yogur Ser Batido Calci+ Pack 240 Gr Frutilla,7.221,11.91
7791337901049,Yogur Ser Batido Calci+ Pack 240 Gr Durazno,7.221,11.91
7791337990111,Yogur Ser Calci+ Pack 240 Gr Vainilla,9.860,16.27
7791337990128,Yogur Ser Calci+ Pack 240 Gr Frutilla,9.860,16.27
7791337990142,Yogur Ser Calci+ Pack 240 Gr Durazno,9.860,16.27
7791337982024,Yogur Ser Bebible  FORT Calci + Bot 185 Gr Frutilla,7.084,11.69
7791337982048,Yogur Ser Bebible  FORT Calci + Bot 185 Gr Durazno,7.084,11.69
7793940034169,Postre Serenito Combinado Pote 125 Gr Vainilla c/DDl,4.979,8.22
7793940034107,Postre Serenito Combinado Pote 125 Gr Vainilla Con Choco,4.979,8.22
7791337046016,Postre Serenito Crash Pack 200 Gr Vainilla,7.622,12.58
7791337046078,Postre Serenito Crash Pack 200 Gr Chocolate,7.622,12.58
7791337047013,Postre Serenito Wau! Pack 200 Gr Vainilla,7.622,12.58
7793940095405,Postre Serenito Comun Pote 120 Gr Vainilla,4.979,8.22
7791337304017,Postre Serenito C/Confites Pote 120 Gr Vainilla,7.654,12.63
7791337409019,Postre Serenito Bombas Pirata 118 Gr Vainilla,7.654,12.63
7791337832015,Flan Serenito Fortif. Pack x 2  210gr Vainilla,8.894,14.68
7791337603073,Postre Serenito La Copa Pote 100 Gr Chocolate,4.500,7.43
7791337010178,Postre Serenito C/ Sorpresa 110 Gr Vainilla,10.465,17.27
7791337191020,Yogur Griego 100 Gr Frutilla,5.584,9.21
7791337191129,Yogur Griego 100 Gr Natural,5.584,9.21
7791337901216,Yogurisimo Ent Firme Fort  190 Gr Vainilla,5.600,9.24
7791337901223,Yogurisimo Ent Firme Fort  190 Gr Frutilla,5.600,9.24
7791337091702,Sachet Yogurisimo 1100 Gr FORTIFICADO Banana,12.564,20.73
7791337990814,Yogurisimo Ent Fort Firme Fortificado 500 Gr Vainilla,11.490,18.96
7791337990821,Yogurisimo Ent Fort Firme Fortificado 500 Gr Frutilla,11.490,18.96
7791337913523,Yogurisimo C/Cereales Azucaradas 164/166 Gr Fortificado Zucaritas,9.380,15.48
7791337968523,Yogur¡simo C/ Cereales y colchon 161 gr Fortificado Frutilla,10.360,17.09
7791337995710,Yogurisimo Cremix Saborizado Pack 480 Gr Fortificado Vainilla,14.770,24.37
7791337995727,Yogurisimo Cremix Saborizado Pack 480 Gr Fortificado Frutilla,14.770,24.37
779133798314,Yogurisimo Cremix Saborizado Pack 720 Gr Fortificado Vainilla,19.700,32.51
7791337998421,Yogurisimo Cremix Saborizado Pack 720 Gr Fortificado Frutilla,19.700,32.51
7791337011625,Yogurisimo Duo Mousse Pote 74gr Frutillas a la crema,4.650,7.67
7791337011694,Yogurisimo Duo Mousse Pote 74gr Mousse de Lim¢n,4.650,7.67
7791337933316,Yogurisimo Go Bot 185 Gr FORTIFICADO Vainilla,5.804,9.58
7791337933323,Yogurisimo Go Bot 185 Gr FORTIFICADO Frutilla,5.804,9.58
7791337533318,Yogurisimo Go Bot 185 Gr + FORTIFICADO Vainilla,8.320,13.73
7791337533325,Yogurisimo Go Bot 185 Gr + FORTIFICADO Frutilla,8.320,13.73
7791337695719,Yogurisimo Cremix Saborizado Pack 480 Gr + Fortificado Vainilla,14.800,24.42
7791337695726,Yogurisimo Cremix Saborizado Pack 480 Gr + Fortificado Frutilla,14.800,24.42
7791337668720,Yogur¡simo C/ Cereales y colchon 161 gr + Fortificado Frutilla,10.370,17.11
7791337613027,Yogurisimo C/Cereales Azucaradas 164/166 Gr Fortificado Zucaritas,9.370,15.46
7791337690813,Yogurisimo Ent Fort Firme + Fortificado 500 Gr Vainilla,14.800,24.42
7791337690820,Yogurisimo Ent Fort Firme + Fortificado 500 Gr Frutilla,14.800,24.42
7791337601215,Yogurisimo Ent Firme + Fort  190 Gr Vainilla,6.680,11.02
7791337651227,Yogurisimo Ent Firme + Fort  190 Gr Frutilla,6.680,11.02
7791337560819,Yogurisimo Fortif Entero Sachet 1000 Gr + FORTIFICADO Vainilla,12.320,20.33
7791337650824,Yogurisimo Fortif Entero Sachet 1000 Gr + FORTIFICADO Frutilla,12.320,20.33
7791337682313,Yogurisimo Cremix Saborizado Pack 720 Gr + Fortificado Vainilla,19.720,32.54
7791337698420,Yogurisimo Cremix Saborizado Pack 720 Gr + Fortificado Frutilla,19.720,32.54
7791337083219,Yogurisimo Tetrabrik 1000 Gr Vainilla,13.750,22.69
7791337083226,Yogurisimo Tetrabrik 1000 Gr Frutilla,13.750,22.69
7791337651517,Sachet Yogurisimo 1100 Gr + FORTIFICADO Vainilla,14.370,23.71
7791337651524,Sachet Yogurisimo 1100 Gr + FORTIFICADO Frutilla,14.370,23.71
7791337642317,Sachet Yogurisimo 1300 Gr + FORTIFICADO Vainilla,15.630,25.79
7791337642324,Sachet Yogurisimo 1300 Gr + FORTIFICADO Frutilla,15.630,25.79
7791337340015,Gran Compra Ent Beb Sachet 1000 Gr Vainilla,7.941,13.10
7791337340022,Gran Compra Ent Beb Sachet 1000 Gr Frutilla,7.941,13.10
7791337075016,Vidacol Bot 80 Gr Vainilla,4.313,7.12
7791337075023,Vidacol Bot 80 Gr Frutilla,4.313,7.12
7791337075856,Vidacol Bot 80 Gr Multifruta,4.313,7.12
7791337005709,ACTIMEL NATURAL 100G Natural,2.770,4.57
7791337957008,Actimel Natural 100G Natural,3.771,6.22
7791337571013,ACTIMEL 100G Vainilla,2.770,4.57
7791337571020,ACTIMEL 100G Frutilla,2.770,4.57
7791337571853,ACTIMEL 100G Multifruta,2.770,4.57
7791337957114,Actimel 100G Vainilla,3.771,6.22
7791337957107,Actimel 100G Frutilla,3.771,6.22
7791337957183,Actimel 100G Multifruta,3.771,6.22
7791337580022,ACTIMEL 0% 100G Frutilla,2.992,4.94
7791337580855,ACTIMEL 0% 100G Multifruta,2.992,4.94
7791337958029,Actimel 0% 100G Frutilla,3.957,6.53
7791337958081,Actimel 0% 100G Multifruta,3.957,6.53
7791337612723,Alim Lacteo Danonino Bebible Pack 100G ,3.442,5.68
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
7791337997998,,17.247,19.51
7791337363007,,#­REF!,#­REF!
